feature,attribution,abs_attribution
occupancy_type,-0.0027562038,0.0027562038
manufactured_home_land_property_interest,-0.0013740918,0.0013740918
negative_amortization,0.0012998224,0.0012998224
conforming_loan_limit,-0.0011034836,0.0011034836
action_taken,-0.00091649545,0.00091649545
manufactured_home_secured_property_type,0.0007849174,0.0007849174
reverse_mortgage,0.00065994804,0.00065994804
initially_payable_to_institution,-0.00037201183,0.00037201183
open_end_line_of_credit,-0.00028234572,0.00028234572
preapproval,-0.00025477525,0.00025477525
loan_type,0.0,0.0
balloon_payment,-0.0,0.0
business_or_commercial_purpose,0.0,0.0
interest_only_payment,0.0,0.0
other_nonamortizing_features,0.0,0.0
loan_purpose,0.0,0.0
lien_status,-0.0,0.0
construction_method,0.0,0.0
